Product Name,Price (CHF),Price Category,Robot type,Robot vacuum cleaner heighti,Suction station heighti,Battery life,Robot vacuum cleaner features,Smart home ecosystem,Item number,Max. noise level,Documents
Xiaomi X20 Max,,N/A,Vacuum mopping roboti,9.70 cm,56.30 cm,120 min,"Base station, Camera function, Carpet detection, Configurable cleaning programmesi, Independent emptying, Laser navigationi, Obstacle detector, Programmable cleaning schedulesi, Programmable room boundaryi, Self-cleaning mop pads, Staircase safe","Amazon Alexa, Google Assistant, Google Home",49838553,,
Dyson 360 Vis Nav,,N/A,Robot vacuumi,9.70 cm,9.70 cm,50 min,"Camera function, Infrared sensor, Programmable cleaning schedulesi","Amazon Alexa, Google Assistant",37373337,76 dB,Technical data sheet.pdf
Roborock S8 MaxV Ultra,,N/A,Vacuum mopping roboti,10.30 cm,47 cm,180 min,Base station,"Amazon Alexa, Google Assistant",43695849,67 dB,
Dreame X50 Ultra Complete,,N/A,Vacuum mopping roboti,8.90 cm,57 cm,200 min,"Area cleaningi, Automatic dust emptying, Automatic water regulation, Base station, Carpet detection, Configurable cleaning programmesi, Extendable side brushes, Independent emptying, Laser navigationi, Obstacle detector, Programmable cleaning schedulesi, Programmable room boundaryi, Staircase safe","Amazon Alexa, Apple Siri, Google Assistant",53898302,,Brochure.pdf
iRobot Roomba Combo j7+,,N/A,Vacuum mopping roboti,8.70 cm,33.70 cm,120 min,"Base station, Camera function, Laser navigationi, Obstacle detector, Programmable cleaning schedulesi, Programmable room boundaryi, Staircase safe","Amazon Alexa, Apple Siri, Google Assistant, IFTTTi, Swisscom HOME App",22503264,68 dB,
