product_name,price,rating,rating_count,Key specifications  Robot type,Key specifications  Robot vacuum cleaner height i,Key specifications  Suction station height i,Key specifications  Battery life,Key specifications  Max. noise level,Key specifications  Robot vacuum cleaner features,Key specifications  Smart home ecosystem,Key specifications  Item number,General information  Manufacturer,General information  Category,General information  Manufacturer no.,General information  Release date,General information  Sales rank in Category Robot vacuum cleaners,General information  May include power adapter,Colour  Colour,Colour  Exact colour description,Robot vacuum cleaner properties  Robot type,Robot vacuum cleaner properties  Cleaning functions,Robot vacuum cleaner properties  Robot vacuum cleaner features,Robot vacuum cleaner properties  Max. Suction power i,Robot vacuum cleaner properties  Filter + Dust bag volume,Robot vacuum cleaner properties  Water tank capacity,Robot vacuum cleaner properties  Max. noise level,Robot vacuum cleaner properties  Suitable surfaces,Robot vacuum cleaner properties  Max. Height door sill,Robot vacuum cleaner properties  Filter type,Robot vacuum cleaner properties  Room area i,Smart home features  Smart Home,Smart home features  Smart home ecosystem,Smart home features  Communication standard,Origin  Country of origin i,Model  Model name,Model  Model number,Battery properties  Battery life,Battery properties  Charging time,Battery properties  Battery type,Battery properties  Capacity,Battery properties  Power capacity,Battery properties  Voltage,Power supplyi  Power consumption,Scope of delivery  Scope of delivery,Product dimensions  Robot vacuum cleaner height i,Product dimensions  Suction station height i,Product dimensions  Diameter,Product dimensions  Length,Product dimensions  Width,Product dimensions  Weight,Package dimensions  Length,Package dimensions  Width,Package dimensions  Height,Package dimensions  Weight,Key specifications  Documents,General information  External links,Ingredients and instructions for use  Ingredients,Sustainability  Manufacturer commitment i,Ingredients and instructions for use  Instructions for use,Key specifications  Device type,Key specifications  Power,Key specifications  Length,Key specifications  Width,Key specifications  Height,Key specifications  Colour,General information  Sales rank in Category Fun kitchen gadgets,Fun Kitchen features  Device type,Power supplyi  Power,Product dimensions  Height
Dreame L10s Pro Ultra Heat,627,4.8,177,Vacuum mopping robot,9.70 cm,59 cm,210 min,64 dB,"Base station, Camera function, Carpet detection, Configurable cleaning programmes, Obstacle detector, Programmable room boundary, Removable water tank","Amazon Alexa, Apple Siri, Google Assistant",40721969,Dreame,Robot vacuum cleaners,RLL82CE,12.2.2024,2 of 469,Yes,White,"Gold, White",Vacuum mopping robot,"Damp mopping, Vacuuming","Base station, Camera function, Carpet detection, Configurable cleaning programmes, Obstacle detector, Programmable room boundary, Removable water tank",7000 Pa,3.20 l,4 l,64 dB,"Carpet, Hard floor, Laminate, Parquet flooring, Tiles",20 mm,HEPA filter,200 m²,Compatible,"Amazon Alexa, Apple Siri, Google Assistant","Amazon Alexa, Google Assistant",China,,DreameBot L10s Ultra,210 min,210 min,Li-ion,5200 mAh,75 Wh,14.40 V,75 W,"Base station, Cleaning brush, Mop, Power cord, Robots, Side brush, User manual, Wiping Pad",9.70 cm,59 cm,35 cm,45.60 cm,34 cm,13.30 kg,43 cm,42 cm,66 cm,18.87 kg,,,,,,,,,,,,,,,
Roborock Qrevo Plus,579,4.8,12,Vacuum mopping robot,9.65 cm,52.10 cm,180 min,63 dB,"Camera-based navigation, Obstacle detector","Amazon Alexa, Google Assistant",47870811,Roborock,Robot vacuum cleaners,QRPS02-00,16.8.2024,21 of 469,No,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming","Camera-based navigation, Obstacle detector",7000 Pa,0.33 l,0.08 l,63 dB,"Carpet, Laminate, Parquet flooring, Tiles",20 mm,Dust filters,300 m²,Compatible,"Amazon Alexa, Google Assistant",,China,Q Revo,,180 min,240 min,Li-ion,5200 mAh,,,60 W,"1 x Roborock Qrevo Plus robot hoover, Manual, Mop pad, Self-cleaning station, Side brush",9.65 cm,52.10 cm,43 cm,35.30 cm,35 cm,11.40 kg,58 cm,43 cm,43.50 cm,15.39 kg,,,,,,,,,,,,,,,
iRobot Roomba Combo j9+,614,4.4,94,Vacuum mopping robot,8.70 cm,41.50 cm,120 min,58 dB,"Carpet detection, Obstacle detector, Programmable cleaning schedules, Programmable room boundary, Staircase safe","Amazon Alexa, Apple Siri, Google Assistant, IFTTT, Swisscom HOME App",39359141,iRobot,Robot vacuum cleaners,C975840,2.11.2023,19 of 469,Yes,"Black, Bronze","Black, Bronze",Vacuum mopping robot,"Damp mopping, Vacuuming","Carpet detection, Obstacle detector, Programmable cleaning schedules, Programmable room boundary, Staircase safe",,0.31 l,0.21 l,58 dB,"Carpet, Laminate, Parquet flooring, Stone, Tiles",16 mm,High-performance filters,,Compatible,"Amazon Alexa, Apple Siri, Google Assistant, IFTTT, Swisscom HOME App","Amazon Alexa, Apple HomeKit, Google Assistant",China,Roomba Combo j9+,Roomba Combo j9+,120 min,180 min,Li-ion,4460 mAh,,,,"Additional filter, Anti-allergen dust bag, Clean Base charging station + automatic emptying, Corner and edge cleaning brush, Microfibre mop pad, Power cord",8.70 cm,41.50 cm,33.90 cm,33.80 cm,33.90 cm,3.40 kg,48 cm,48 cm,46 cm,18.50 kg,,,"Https://prod-help-content.care.irobotapi.com/files/guide/OGComboj9plusEMEA.pdf
https://prod-help-content.care.irobotapi.com/files/guide/QSCj9comboplusMoppingNA.pdf
https://prod-help-content.care.irobotapi.com/files/guide/QSCj9comboaddNA.pdf.",,,,,,,,,,,,
Roborock QRevo MaxV,849,5.0,21,Vacuum mopping robot,10.20 cm,52.10 cm,240 min,67 dB,"Automatic dust emptying, Automatic water refill, Base station, Camera function, Carpet detection, Configurable cleaning programmes, Laser navigation, Obstacle detector, Programmable cleaning schedules, Programmable room boundary, Self-cleaning mop pads, Staircase safe","Amazon Alexa, Google Assistant, Google Home",49002126,Roborock,Robot vacuum cleaners,RSD0710CE,31.8.2024,,Yes,Black,Black,Vacuum mopping robot,"Damp mopping, Vacuuming","Automatic dust emptying, Automatic water refill, Base station, Camera function, Carpet detection, Configurable cleaning programmes, Laser navigation, Obstacle detector, Programmable cleaning schedules, Programmable room boundary, Self-cleaning mop pads, Staircase safe",7000 Pa,0.33 l,0.08 l,67 dB,Universal,,Dust filters,300 m²,Compatible,"Amazon Alexa, Google Assistant, Google Home",Google Assistant,China,Q Revo,"QRMV52-00, RSD0710CE",240 min,240 min,Li-ion,5200 mAh,,,60 W,"1x Charging station, 1x dust filter, 1x mop attachment, 1x power cable, 1x robot hoover, 1x water tank, 1x wiping module",10.20 cm,52.10 cm,35.30 cm,,,12.31 kg,,,,,,,,,,,,,,,,,,,
Dreame X50 Master,1599,,12,Vacuum mopping robot,8.90 cm,24.90 cm,200 min,,"Area cleaning, Automatic detergent addition, Automatic dust emptying, Automatic water refill, Base station, Camera function, Carpet detection, Configurable cleaning programmes, Extendable side brushes, Extendable wiping pads, Independent emptying, Laser navigation, Obstacle detector, Programmable cleaning schedules, Self-cleaning mop pads, Staircase safe","Amazon Alexa, Apple Siri, Google Assistant",53898303,Dreame,Robot vacuum cleaners,RLX86CE-1,17.3.2025,44 of 469,No,Black,Black,Vacuum mopping robot,"Damp mopping, Vacuuming","Area cleaning, Automatic detergent addition, Automatic dust emptying, Automatic water refill, Base station, Camera function, Carpet detection, Configurable cleaning programmes, Extendable side brushes, Extendable wiping pads, Independent emptying, Laser navigation, Obstacle detector, Programmable cleaning schedules, Self-cleaning mop pads, Staircase safe",20000 Pa,0.40 l,0.08 l,,"Carpet, Hard floor, Hard surfaces, Laminate, Parquet flooring, Tiles",60 mm,HEPA filter,,Compatible,"Amazon Alexa, Apple Siri, Google Assistant",,China,,,200 min,270 min,,6400 mAh,,,600 W,,8.90 cm,24.90 cm,35 cm,35 cm,35 cm,13.74 kg,56 cm,50 cm,50 cm,30 kg,,,,,,,,,,,,,,,
Roborock S7 Max Ultra,730,4.5,146,Vacuum mopping robot,9.65 cm,42 cm,180 min,67 dB,"Base station, Laser navigation","Amazon Alexa, Apple Siri, Google Assistant",37058248,Roborock,Robot vacuum cleaners,6970995786637,12.7.2023,114 of 471,Yes,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming","Base station, Laser navigation",5500 Pa,0.35 l,0.20 l,67 dB,"Carpet, Hard floor, Tiles",20 mm,HEPA filter,300 m²,Compatible,"Amazon Alexa, Apple Siri, Google Assistant","Amazon Alexa, Apple Siri, Google Assistant",China,S7 Max Ultra,,180 min,240 min,Li-ion,5200 mAh,,,60 W,"Dust filters, Power cord, Robot vacuum, Short manual, Suction station, Wipes",9.65 cm,42 cm,9.65 cm,35 cm,35.30 cm,13.60 kg,51.50 cm,51.20 cm,44.50 cm,17.40 kg,,,,,,,,,,,,,,,
Dreame L10 Prime,318,4.5,69,Vacuum mopping robot,10.20 cm,44 cm,210 min,60 dB,"Camera function, Carpet detection, Configurable cleaning programmes, Laser navigation, Obstacle detector, Programmable room boundary, Removable water tank","Amazon Alexa, Apple Siri, Google Assistant",35995737,Dreame,Robot vacuum cleaners,RLL11GC,4.12.2023,17 of 469,No,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming","Camera function, Carpet detection, Configurable cleaning programmes, Laser navigation, Obstacle detector, Programmable room boundary, Removable water tank",4000 Pa,2.70 l,2.70 l,60 dB,"Carpet, Hard floor, Laminate, Parquet flooring, Tiles",22 mm,EPA filter,,Compatible,"Amazon Alexa, Apple Siri, Google Assistant","Amazon Alexa, Apple HomeKit, Google Assistant",China,,,210 min,180 min,Li-ion,5200 mAh,,14.40 V,,"1x base station, 1x robot hoover, 1x side brush, 2x wiping pad, Anthers, Cleaning tool, Manual, Power cord",10.20 cm,44 cm,35 cm,35 cm,35 cm,3.65 kg,49 cm,40 cm,50.50 cm,14.45 kg,,,,,,,,,,,,,,,
iRobot Roomba j9+,549,4.4,45,Robot vacuum,8.70 cm,34 cm,120 min,,"Obstacle detector, Programmable cleaning schedules, Programmable room boundary, Staircase safe","Amazon Alexa, Apple Siri, Google Assistant, IFTTT, Swisscom HOME App",40721437,iRobot,Robot vacuum cleaners,J955840,19.12.2023,24 of 469,No,"Black, Bronze","Black, Bronze",Robot vacuum,Vacuuming,"Obstacle detector, Programmable cleaning schedules, Programmable room boundary, Staircase safe",,0.40 l,,,"Carpet, Laminate, Parquet flooring, Stone, Tiles",16 mm,High-performance filters,,Compatible,"Amazon Alexa, Apple Siri, Google Assistant, IFTTT, Swisscom HOME App","Amazon Alexa, Apple Siri, Google Assistant",China,Roomba j9+,Roomba j9+,120 min,180 min,Li-ion,4440 mAh,,,,"1x additional corner brush, 1x anti-allergenic dust bag, 1x Clean Base (automatic suction station), 1x replacement filter, 1x Roomba j9+ robot hoover, 2x power cable",8.70 cm,34 cm,33.90 cm,45.70 cm,38.80 cm,9.40 kg,44.50 cm,37 cm,35.50 cm,9.20 kg,,,,,,,,,,,,,,,
Roborock S8 Pro Ultra,972,4.6,368,Vacuum mopping robot,9.65 cm,51.40 cm,180 min,68.50 dB,"Base station, Laser navigation, Obstacle detector, Staircase safe","Amazon Alexa, Apple Siri, Google Assistant",30359489,Roborock,Robot vacuum cleaners,R100032,29.4.2023,33 of 469,Yes,"Black, White","Black, White",Vacuum mopping robot,"Damp mopping, Vacuuming","Base station, Laser navigation, Obstacle detector, Staircase safe",6000 Pa,0.20 l,0.35 l,68.50 dB,"Carpet, Hard floor, Tiles",20 mm,Dust filters,300 m²,Compatible,"Amazon Alexa, Apple Siri, Google Assistant",Amazon Alexa,China,S8 Pro Ultra,R100032,180 min,240 min,Li-ion,5200 mAh,69 Wh,14.40 V,69 W,"Dust filters, Loading and extraction station, Power cord, Roborock S8 Pro Ultra, Short manual, Suction station, Wipes",9.65 cm,51.40 cm,35 cm,35 cm,35 cm,19 kg,54.30 cm,48.60 cm,51.90 cm,19.15 kg,,,,,,,,,,,,,,,
iRobot Roomba i1,137,4.3,26,Robot vacuum,9.20 cm,,90 min,70 dB,"Obstacle detector, Programmable cleaning schedules, Programmable room boundary, Staircase safe","Amazon Alexa, Apple Siri, Google Assistant, IFTTT, Swisscom HOME App",22503266,iRobot,Robot vacuum cleaners,i115840,18.10.2022,15 of 469,No,"Black, Grey","Black, Gray",Robot vacuum,Vacuuming,"Obstacle detector, Programmable cleaning schedules, Programmable room boundary, Staircase safe",,0.40 l,0.40 l,70 dB,"Carpet, Hard floor, Laminate, Parquet flooring, Stone, Tiles, Tiles",16 mm,High-performance filters,,Compatible,"Amazon Alexa, Apple Siri, Google Assistant, IFTTT, Swisscom HOME App","Amazon Alexa, Apple HomeKit, Google Assistant",,Roomba i1,Roomba i1158,90 min,90 min,Li-ion,1850 mAh,,,,"1 corner and edge cleaning brush, Home Base Charging Station, Power cord, Replacement filter",9.20 cm,,33.50 cm,34.20 cm,34.20 cm,3.18 kg,47.30 cm,43.30 cm,14.90 cm,5.19 kg,,,Https://prod-help-content.care.irobotapi.com/files/i_series/i3/ownersGuide/EMEA.pdf.,,,,,,,,,,,,
iRobot Roomba j9,349,4.5,33,Robot vacuum,13.40 cm,14.50 cm,120 min,,"Obstacle detector, Programmable cleaning schedules, Programmable room boundary, Staircase safe","Amazon Alexa, Apple Siri, Google Assistant, IFTTT, Swisscom HOME App",40721392,iRobot,Robot vacuum cleaners,J915840,19.12.2023,30 of 469,No,"Black, Bronze","Black, Bronze",Robot vacuum,Vacuuming,"Obstacle detector, Programmable cleaning schedules, Programmable room boundary, Staircase safe",,0.40 l,0.40 l,,"Carpet, Laminate, Parquet flooring, Stone, Tiles",16 mm,High-performance filters,,Compatible,"Amazon Alexa, Apple Siri, Google Assistant, IFTTT, Swisscom HOME App","Amazon Alexa, Apple Siri, Google Assistant",China,Roomba j9,Roomba j9,120 min,180 min,Li-ion,4440 mAh,,,,"1 corner and edge cleaning brush, Home Base Charging Station, Power cord, Roomba j9",13.40 cm,14.50 cm,33.90 cm,41.70 cm,33.90 cm,3.40 kg,43 cm,14.50 cm,47.20 cm,5.44 kg,,,,,,,,,,,,,,,
Roborock Qrevo Slim,1047,5.0,2,Vacuum mopping robot,8.20 cm,52.10 cm,180 min,67 dB,Base station,"Amazon Alexa, Google Assistant",49228887,Roborock,Robot vacuum cleaners,RSD0722CE,10.9.2024,37 of 469,Yes,Black,Black,Vacuum mopping robot,"Damp mopping, Vacuuming",Base station,11000 Pa,0.22 l,0.07 l,67 dB,,20 mm,HEPA filter,300 m²,Compatible,"Amazon Alexa, Google Assistant",,China,Q Revo,QRSM52-00,180 min,180 min,,5200 mAh,,,60 W,"1x disposable dust bag, 1x docking station base, 1x multifunctional docking station, 1x power cable, 1x robot hoover, 2x rotating mop module, Manual",8.20 cm,52.10 cm,,35.30 cm,35 cm,5 kg,58.50 cm,44 cm,43 cm,16.41 kg,,,,,,,,,,,,,,,
Roborock Q5 Pro,188,4.5,28,Vacuum mopping robot,9.65 cm,,240 min,67 dB,"Base station, Staircase safe",Amazon Alexa,38864722,Roborock,Robot vacuum cleaners,R100038,21.6.2024,7 of 469,No,Black,Black,Vacuum mopping robot,"Damp mopping, Vacuuming","Base station, Staircase safe",5500 Pa,0.77 l,0.18 l,67 dB,"Carpet, Laminate, Parquet flooring, Tiles",20 mm,Dust filters,350 m²,Compatible,Amazon Alexa,Amazon Alexa,Switzerland,,Q5 Pro,240 min,360 min,Li-ion,5200 mAh,59 Wh,240 V,59 W,"Charging station, Manual, Power cable, Robots, Water reservoir, Wiping cloth",9.65 cm,,35 cm,35 cm,35 cm,3.40 kg,44.90 cm,40.50 cm,14.60 cm,5.40 kg,,,,,,,,,,,,,,,
iRobot Braava Jet m6,369,4.1,541,Mopping robot,12.90 cm,,90 min,,"Programmable cleaning schedules, Programmable room boundary, Staircase safe","Amazon Alexa, Apple Siri, Google Assistant, IFTTT, Swisscom HOME App",43164338,iRobot,Robot vacuum cleaners,m613340,26.2.2024,127 of 471,No,"Black, Silver","Black, Silver",Mopping robot,Damp mopping,"Programmable cleaning schedules, Programmable room boundary, Staircase safe",,,0.45 l,,"Laminate, Parquet flooring, Stone, Tiles",6 mm,,100 m²,Compatible,"Amazon Alexa, Apple Siri, Google Assistant, IFTTT, Swisscom HOME App","Amazon Alexa, Apple Siri, Google Assistant",,Braava jet m6,Braava jet m6,90 min,180 min,Li-ion,1775 mAh,,,,"1 dry wipe, 1 washable dry wipe, 1 washable wet wipe cloth, 2 wet wipes, Home Base Charging Station, Power cord, Sample cleaning solution",12.90 cm,,,49.50 cm,38.50 cm,5 kg,,,,,,,,,,,,,,,,,,,
iRobot Roomba Combo Essential Y0 (Y0112),133,3.9,59,Vacuum mopping robot,8 cm,14.50 cm,120 min,,"Programmable cleaning schedules, Staircase safe","Amazon Alexa, Google Assistant, Swisscom HOME App",43134731,iRobot,Robot vacuum cleaners,Y011240,9.4.2024,20 of 469,No,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming","Programmable cleaning schedules, Staircase safe",,0.40 l,0.20 l,,"Carpet, Laminate, Parquet flooring, Stone, Tiles",16 mm,High-performance filters,,Compatible,"Amazon Alexa, Google Assistant, Swisscom HOME App","Amazon Alexa, Google Assistant",China,Roomba Combo Essential,Roomba Combo Essential,120 min,120 min,Li-ion,2600 mAh,,,,"1 Roomba Combo™ Essential robot hoover and mop, 1x Charging station, 1x Roomba Combo Essential, 1x tool",8 cm,14.50 cm,33 cm,35.50 cm,33 cm,4.20 kg,36 cm,44 cm,13 cm,4.30 kg,,,,,,,,,,,,,,,
iRobot Roomba Combo j7+,449,4.2,105,Vacuum mopping robot,8.50 cm,33.70 cm,120 min,68 dB,"Base station, Camera function, Laser navigation, Obstacle detector, Programmable cleaning schedules, Programmable room boundary, Staircase safe","Amazon Alexa, Apple Siri, Google Assistant, IFTTT, Swisscom HOME App",22503264,iRobot,Robot vacuum cleaners,c755840,18.10.2022,36 of 469,No,"Black, Silver","Black, Silver",Vacuum mopping robot,"Damp mopping, Vacuuming","Base station, Camera function, Laser navigation, Obstacle detector, Programmable cleaning schedules, Programmable room boundary, Staircase safe",,0.31 l,0.21 l,68 dB,"Carpet, Hard floor, Laminate, Parquet flooring, Stone, Tiles, Tiles",16 mm,High-performance filters,90 m²,Compatible,"Amazon Alexa, Apple Siri, Google Assistant, IFTTT, Swisscom HOME App","Amazon Alexa, Apple HomeKit, Google Assistant",China,Roomba Combo j7+,Roomba Combo j7+,120 min,120 min,Li-ion,4400 mAh,,14.40 V,,"1 corner and edge cleaning brush, 1 microfibre cleaning cloth, 2 anti-allergen dust bags, Clean Base charging station + automatic emptying, Power cord, Replacement filter",8.50 cm,33.70 cm,33.30 cm,39.80 cm,31.70 cm,3.40 kg,46 cm,37 cm,38 cm,11 kg,,,Https://prod-help-content.care.irobotapi.com/files/j_series/og/J7ComboOwnersGuideEMEA.pdf.,,,,,,,,,,,,
Dreame L10s Pro Gen 2,40634,4.4,18,Vacuum mopping robot,9.85 cm,9.26 cm,160 min,72 dB,"Base station, Laser navigation, Obstacle detector","Amazon Alexa, Apple Siri, Google Assistant",43915293,Dreame,Robot vacuum cleaners,010201AA000273,16.3.2024,34 of 469,No,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming","Base station, Laser navigation, Obstacle detector",7000 Pa,0.47 l,0.30 l,72 dB,"Carpet, Hard floor",22 mm,,145 m²,Compatible,"Amazon Alexa, Apple Siri, Google Assistant",,,,L10s Pro Gen2,160 min,360 min,Li-ion,5200 mAh,,14.40 V,75 W,"Charging station, Power cord, Robot vacuum, Side brush, User manual, Wiper pad, Wiper pad holder",9.85 cm,9.26 cm,35 cm,41.10 cm,35 cm,4.20 kg,45.80 cm,40.80 cm,14.20 cm,6.06 kg,,,,,,,,,,,,,,,
Dreame L10s Ultra Gen 2,449,4.9,29,Vacuum mopping robot,9.72 cm,59.05 cm,240 min,74 dB,"Automatic dust emptying, Base station","Amazon Alexa, Apple Siri, Google Assistant",49039640,Dreame,Robot vacuum cleaners,010204AA000485,3.9.2024,22 of 469,No,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming","Automatic dust emptying, Base station",10000 Pa,0.30 l,0.08 l,74 dB,Hard floor,20 mm,,,Compatible,"Amazon Alexa, Apple Siri, Google Assistant",Amazon Alexa,,Dreame L10s,,240 min,210 min,Li-ion,5200 mAh,,14.40 V,700 W,Mop Pad,9.72 cm,59.05 cm,35 cm,35 cm,35 cm,13.30 kg,66 cm,43 cm,41.50 cm,18.35 kg,,,,,,,,,,,,,,,
Roborock Q8 Max,420,4.8,23,Vacuum mopping robot,9.56 cm,,240 min,67 dB,Obstacle detector,"Amazon Alexa, Apple Siri, Google Home",38866576,Roborock,Robot vacuum cleaners,Q8M52-00,26.9.2023,69 of 469,No,Black,Black,Vacuum mopping robot,"Damp mopping, Vacuuming",Obstacle detector,5500 Pa,0.77 l,0.35 l,67 dB,"Carpet, Hard floor",20 mm,,,Compatible,"Amazon Alexa, Apple Siri, Google Home",Amazon Alexa,China,,R100044,240 min,360 min,Li-ion,5200 mAh,59 Wh,,59 W,"Charging station, Manual, Mop attachment, Mop pad, Power cable, Power cord, Robots, Water reservoir",9.56 cm,,,35.31 cm,35 cm,4 kg,45 cm,40 cm,14 cm,6.09 kg,,,,,,,,,,,,,,,
Roborock Q5 Max+,30298,5.0,1,Robot vacuum,9.65 cm,44.80 cm,240 min,67 dB,Base station,"Amazon Alexa, Google Assistant",49228888,Roborock,Robot vacuum cleaners,RSD0743CE,10.9.2024,31 of 469,No,Black,Black,Robot vacuum,Vacuuming,Base station,5500 Pa,0.77 l,0.18 l,67 dB,"Carpet, Laminate, Parquet flooring, Tiles",20 mm,Dust filters,300 m²,Compatible,"Amazon Alexa, Google Assistant",Apple Siri,China,Q Revo,,240 min,180 min,,5200 mAh,,,60 W,"1x dock with automatic emptying, 1x dust bag, 1x power cable, 1x robot hoover",9.65 cm,44.80 cm,35 cm,35.30 cm,35 cm,5 kg,49 cm,38 cm,36.50 cm,11.40 kg,,,,,,,,,,,,,,,
Mova E30 Ultra,449,5.0,3,Vacuum mopping robot,9.72 cm,,260 min,74 dB,"Automatic dust emptying, Automatic power adjustment, Base station, Carpet detection, Independent emptying, Programmable cleaning schedules, Programmable room boundary, Staircase safe","Amazon Alexa, Apple Siri, Google Assistant",47655505,Mova,Robot vacuum cleaners,RLE51SE,22.2.2025,25 of 469,,White,White,Vacuum mopping robot,Damp mopping,"Automatic dust emptying, Automatic power adjustment, Base station, Carpet detection, Independent emptying, Programmable cleaning schedules, Programmable room boundary, Staircase safe",7000 Pa,3.20 l,,74 dB,"Carpet, Hard floor, Laminate, Linoleum, Parquet flooring, Tiles, Wood",22 mm,,,Compatible,"Amazon Alexa, Apple Siri, Google Assistant",Google Assistant,China,,E30ULTRA,260 min,210 min,Li-ion,5200 mAh,,14.40 V,700 W,"Charging station and cleaning station, Dust collector, Manual, Mop cloths x 2, Optical input, Power cord, Robots, Side brush, Vacuum cleaner bag, Water reservoir",9.72 cm,,35 cm,0 cm,35 cm,3.82 kg,66 cm,43.30 cm,41.90 cm,17.19 kg,,,,,,,,,,,,,,,
iRobot Roomba i1+,293,4.3,3,Robot vacuum,9.25 cm,,75 min,70 dB,"Programmable cleaning schedules, Programmable room boundary, Staircase safe","Amazon Alexa, Apple Siri, Google Assistant, IFTTT, Swisscom HOME App",40721401,iRobot,Robot vacuum cleaners,I155640,4.10.2023,47 of 469,No,"Black, Grey","Black, Light grey",Robot vacuum,Vacuuming,"Programmable cleaning schedules, Programmable room boundary, Staircase safe",,0.40 l,,70 dB,"Carpet, Laminate, Parquet flooring, Stone, Tiles",16 mm,High-performance filters,,Compatible,"Amazon Alexa, Apple Siri, Google Assistant, IFTTT, Swisscom HOME App","Amazon Alexa, Apple Siri, Google Assistant",,Roomba i1+,Roomba i1+,75 min,75 min,Li-ion,1800 mAh,,,,"1 additional filter, 2 anti-allergenic dust bags, Clean Base charging station + automatic emptying, Home Base Charging Station, Power cord, Roomba i1+",9.25 cm,,34.20 cm,34 cm,34 cm,3.18 kg,38.50 cm,46.50 cm,38.50 cm,10.25 kg,,,,,,,,,,,,,,,
Xiaomi Mi Robot Vacuum S10+,239,4.5,45,Vacuum mopping robot,9.70 cm,9.30 cm,120 min,55 dB,Programmable room boundary,Amazon Alexa,25478841,Xiaomi,Robot vacuum cleaners,BHR6368EU,22.5.2023,32 of 469,No,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming",Programmable room boundary,4000 Pa,0.45 l,0.20 l,55 dB,Linoleum,,Dust filters,200 m²,Compatible,Amazon Alexa,Google Assistant,,,S10+ EU,120 min,360 min,Li-ion,5200 mAh,55 Wh,14.40 V,55 W,"Charging dock, Cleaning tool x 1, Power adapter, Robottolmuimeja, Side brush, User Manual, Water reservoir",9.70 cm,9.30 cm,35 cm,35 cm,35 cm,3.80 kg,44.90 cm,39.70 cm,13.20 cm,6.05 kg,,,,,,,,,,,,,,,
Dreame L20 Ultra Complete,89214,4.7,365,Vacuum mopping robot,10.30 cm,60.80 cm,180 min,63 dB,"Area cleaning, Automatic detergent addition, Automatic dust emptying, Automatic mop pad separation, Automatic power adjustment, Automatic water refill, Base station, Camera function, Carpet detection, Configurable cleaning programmes, Extendable wiping pads, Fixed water connection, Independent emptying, Obstacle detector, Programmable cleaning schedules, Programmable room boundary, Removable water tank, Self-cleaning mop pads","Amazon Alexa, Apple Siri, Google Assistant",37230857,Dreame,Robot vacuum cleaners,RLX41CE,1.9.2023,46 of 469,Yes,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming","Area cleaning, Automatic detergent addition, Automatic dust emptying, Automatic mop pad separation, Automatic power adjustment, Automatic water refill, Base station, Camera function, Carpet detection, Configurable cleaning programmes, Extendable wiping pads, Fixed water connection, Independent emptying, Obstacle detector, Programmable cleaning schedules, Programmable room boundary, Removable water tank, Self-cleaning mop pads",7000 Pa,0.30 l,4.50 l,63 dB,"Carpet, Hard floor, Laminate, Parquet flooring, Tiles",20 mm,"Dust filters, HEPA filter",,Compatible,"Amazon Alexa, Apple Siri, Google Assistant","Amazon Alexa, Google Assistant",China,,,180 min,180 min,Li-ion,6400 mAh,75 Wh,14.40 V,75 W,"14x mop pad, 1x charging and self-cleaning station, 1x Dreame L20 Ultra, 2x main brush, 3x side brush, 4x cleaning solution, 4x dust box filter, 5x dust bag, Cleaning tool, Operating instructions, Power cables",10.30 cm,60.80 cm,35 cm,35 cm,35 cm,4.30 kg,68 cm,52 cm,65 cm,27.50 kg,,,,,,,,,,,,,,,
Xiaomi X20 Pro,418,4.8,5,Vacuum mopping robot,9.70 cm,56.30 cm,160 min,60 dB,"Automatic power adjustment, Camera-based navigation, Carpet detection, Independent emptying, Laser navigation, Obstacle detector, Programmable room boundary","Amazon Alexa, Google Assistant",52931097,Xiaomi,Robot vacuum cleaners,BHR8859EU,13.11.2024,41 of 469,Yes,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming","Automatic power adjustment, Camera-based navigation, Carpet detection, Independent emptying, Laser navigation, Obstacle detector, Programmable room boundary",7000 Pa,2.50 l,4 l,60 dB,"Carpet, Hard floor, Linoleum, Parquet flooring, Wood",10 mm,HEPA filter,120 m²,Compatible,"Amazon Alexa, Google Assistant","Amazon Alexa, Google Assistant",China,,BHR8859EU,160 min,390 min,Li-ion,5200 mAh,,14.40 V,55 W,"Charging station and cleaning station, Dirty water tank, Dust collector, Extension of the tray base x 1, Main brush, Main brush cap x 1, Manual, Mop pad holder x 2, Mop pad x 2, Power cable, Short guide, Side brush, Tray x 1, Vacuum cleaners, Warranty card, Water reservoir",9.70 cm,56.30 cm,35 cm,40 cm,35 cm,3.70 kg,61.50 cm,43.20 cm,40 cm,16.86 kg,,,,,,,,,,,,,,,
