product_name,price,rating,rating_count,Key specifications  Robot type,Key specifications  Robot vacuum cleaner height i,Key specifications  Suction station height i,Key specifications  Battery life,Key specifications  Max. noise level,Key specifications  Robot vacuum cleaner features,Key specifications  Smart home ecosystem,Key specifications  Item number,General information  Manufacturer,General information  Category,General information  Manufacturer no.,General information  Release date,General information  Sales rank in Category Robot vacuum cleaners,General information  May include power adapter,Colour  Colour,Colour  Exact colour description,Robot vacuum cleaner properties  Robot type,Robot vacuum cleaner properties  Cleaning functions,Robot vacuum cleaner properties  Robot vacuum cleaner features,Robot vacuum cleaner properties  Max. Suction power i,Robot vacuum cleaner properties  Filter + Dust bag volume,Robot vacuum cleaner properties  Water tank capacity,Robot vacuum cleaner properties  Max. noise level,Robot vacuum cleaner properties  Suitable surfaces,Robot vacuum cleaner properties  Max. Height door sill,Robot vacuum cleaner properties  Filter type,Robot vacuum cleaner properties  Room area i,Smart home features  Smart Home,Smart home features  Smart home ecosystem,Smart home features  Communication standard,Origin  Country of origin i,Model  Model name,Model  Model number,Battery properties  Battery life,Battery properties  Charging time,Battery properties  Battery type,Battery properties  Capacity,Battery properties  Power capacity,Battery properties  Voltage,Power supplyi  Power consumption,Scope of delivery  Scope of delivery,Product dimensions  Robot vacuum cleaner height i,Product dimensions  Suction station height i,Product dimensions  Diameter,Product dimensions  Length,Product dimensions  Width,Product dimensions  Weight,Package dimensions  Length,Package dimensions  Width,Package dimensions  Height,Package dimensions  Weight,Key specifications  Documents,General information  External links,Ingredients and instructions for use  Ingredients,Sustainability  Manufacturer commitment i,Ingredients and instructions for use  Instructions for use,Key specifications  Device type,Key specifications  Power,Key specifications  Length,Key specifications  Width,Key specifications  Height,Key specifications  Colour,General information  Sales rank in Category Fun kitchen gadgets,Fun Kitchen features  Device type,Power supplyi  Power,Product dimensions  Height
Roborock S8 MaxV Ultra,1059,4.8,167,Vacuum mopping robot,10.30 cm,47 cm,180 min,67 dB,Base station,"Amazon Alexa, Google Assistant",43695719,Roborock,Robot vacuum cleaners,S8MVU02-SCH,9.5.2024,13 of 469,Yes,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming",Base station,10000 Pa,2.50 l,4 l,67 dB,"Carpet, Laminate, Parquet flooring, Tiles",20 mm,Dust filters,300 m²,Compatible,"Amazon Alexa, Google Assistant",Google Assistant,China,S8 MaxV Ultra,S8 MaxV,180 min,240 min,Li-ion,5200 mAh,60 Wh,14.40 V,60 W,"Charging station, Dust filters, Manual, Mop top, Power cord, Robot vacuum, Water reservoir, Wiping module",10.30 cm,47 cm,350 cm,35.30 cm,35 cm,14.40 kg,55 cm,48 cm,44 cm,18.32 kg,,,,,,,,,,,,,,,
Dreame X50 Ultra Complete,1195,4.7,41,Vacuum mopping robot,8.90 cm,57 cm,200 min,,"Area cleaning, Automatic dust emptying, Automatic water regulation, Base station, Carpet detection, Configurable cleaning programmes, Extendable side brushes, Independent emptying, Laser navigation, Obstacle detector, Programmable cleaning schedules, Programmable room boundary, Staircase safe","Amazon Alexa, Apple Siri, Google Assistant",53898302,Dreame,Robot vacuum cleaners,010204AA000662,21.1.2025,6 of 469,No,Black,Black,Vacuum mopping robot,"Damp mopping, Vacuuming","Area cleaning, Automatic dust emptying, Automatic water regulation, Base station, Carpet detection, Configurable cleaning programmes, Extendable side brushes, Independent emptying, Laser navigation, Obstacle detector, Programmable cleaning schedules, Programmable room boundary, Staircase safe",20000 Pa,0.30 l,0.08 l,,"Carpet, Concrete, Hard floor, Laminate, Stone, Tiles, Tiles",42 mm,,,Compatible,"Amazon Alexa, Apple Siri, Google Assistant",,China,,,200 min,270 min,Li-ion,6400 mAh,,14.40 V,,"1x 200ml cleaning solution, 1x base station, 1x brush guard, 1x cleaning accessories, 1x Dreame X50 Ultra Complete, 1x dust container, 1x extension for base station ramp, 1x lime inhibitor, 1x main brush, 1x power cable, 1x side brush, 2x dust bag, 2x wiper pad holders, 2x wiper pads, Quick start guide, User manual",8.90 cm,57 cm,45.70 cm,35 cm,,15.57 kg,49 cm,44 cm,65 cm,20.46 kg,,,,,,,,,,,,,,,
Dreame X40 Ultra Complete,931,4.5,209,Vacuum mopping robot,9.70 cm,59 cm,260 min,68 dB,"Area cleaning, Automatic detergent addition, Automatic dust emptying, Automatic mop pad separation, Automatic water refill, Base station, Camera function, Carpet detection, Extendable side brushes, Extendable wiping pads, Laser navigation, Obstacle detector, Programmable cleaning schedules, Removable water tank, Self-cleaning mop pads, Staircase safe","Amazon Alexa, Apple Siri, Google Assistant",44711168,Dreame,Robot vacuum cleaners,RLX63CE-2,3.4.2024,29 of 469,Yes,"Gold, White","Gold, White",Vacuum mopping robot,"Damp mopping, Vacuuming","Area cleaning, Automatic detergent addition, Automatic dust emptying, Automatic mop pad separation, Automatic water refill, Base station, Camera function, Carpet detection, Extendable side brushes, Extendable wiping pads, Laser navigation, Obstacle detector, Programmable cleaning schedules, Removable water tank, Self-cleaning mop pads, Staircase safe",12000 Pa,0.30 l,0.08 l,68 dB,"Carpet, Concrete, Hard floor, Laminate, Parquet flooring, Stone, Tiles",22 mm,HEPA filter,210 m²,Compatible,"Amazon Alexa, Apple Siri, Google Assistant","Amazon Alexa, Apple Siri, Google Assistant",,X40 Ultra Complete,,260 min,270 min,Li-ion,6400 mAh,,14.40 V,,"1 x cleaning solution, 12 mops, 2 side brushes, 2 wiper pad holders, 3 dust bags, 3 Filters, Base station ramp, Cleaning accessory, Power cord, User manual",9.70 cm,59 cm,35 cm,35 cm,35 cm,14.90 kg,65 cm,50 cm,46 cm,20.50 kg,,,,,,,,,,,,,,,
Xiaomi X20+,359,4.7,214,Vacuum mopping robot,9.70 cm,59 cm,180 min,,"Automatic dust emptying, Configurable cleaning programmes, Infrared sensor, Programmable room boundary","Amazon Alexa, Google Assistant",43091384,Xiaomi,Robot vacuum cleaners,BHR8124EU,22.2.2024,1 of 469,Yes,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming","Automatic dust emptying, Configurable cleaning programmes, Infrared sensor, Programmable room boundary",6000 Pa,0.35 l,0.40 l,,"Carpet, Laminate, Parquet flooring, Tiles",20 mm,HEPA filter,,Compatible,"Amazon Alexa, Google Assistant",ZigBee,China,,BHR8124EU,180 min,390 min,,5200 mAh,,220 V,75 W,1 piece,9.70 cm,59 cm,35 cm,35 cm,35 cm,3.67 kg,65 cm,40 cm,49 cm,17.12 kg,,,,,,,,,,,,,,,
Roborock Qrevo Curv,1000,4.2,23,Robot vacuum,10.30 cm,45 cm,220 min,61.50 dB,"Automatic dust emptying, Carpet detection","Amazon Alexa, Google Assistant",49228886,Roborock,Robot vacuum cleaners,RSD0712CE,10.9.2024,11 of 469,Yes,White,White,Robot vacuum,Vacuuming,"Automatic dust emptying, Carpet detection",18500 Pa,0.33 l,0.08 l,61.50 dB,,40 mm,Dust filters,320 m²,Compatible,"Amazon Alexa, Google Assistant",Apple Siri,Germany,Q Revo,,220 min,240 min,,6400 mAh,,,66 W,"1x disposable dust bag, 1x multifunctional docking station (disposable dust bag pre-installed), 1x power cable, 1x robot hoover, 1x user manual, 1x wipe holder, 1x wipes",10.30 cm,45 cm,32 cm,35.20 cm,34.70 cm,4 kg,50.40 cm,55.20 cm,51 cm,21.47 kg,,,,,,,,,,,,,,,
Dreame D10 Plus,199,4.5,453,Vacuum mopping robot,10 cm,40 cm,250 min,65 dB,"Automatic dust emptying, Base station, Laser navigation, Obstacle detector, Programmable room boundary","Amazon Alexa, Apple Siri, Google Assistant",21885882,Dreame,Robot vacuum cleaners,RLS3D,1.9.2023,5 of 469,Yes,White,White,Vacuum mopping robot,Vacuuming,"Automatic dust emptying, Base station, Laser navigation, Obstacle detector, Programmable room boundary",4000 Pa,0.40 l,0.15 l,65 dB,"Carpet, Hard floor",20 mm,Dust filters,270 m²,Compatible,"Amazon Alexa, Apple Siri, Google Assistant",Amazon Alexa,China,,RLS3D,250 min,360 min,Li-ion,5200 mAh,46 Wh,14.40 V,46 W,"1 side brush, 1x power cable, 2x dust bag, Base station, Cleaning tool, Power cord, Robot vacuum, User manual, Water reservoir, Wiping Pad",10 cm,40 cm,35 cm,35 cm,34.90 cm,3.90 kg,46 cm,38 cm,43 cm,9.78 kg,,,,,,,,,,,,,,,
Dreame L50 Pro Ultra,1199,5.0,1,Vacuum mopping robot,8.95 cm,59 cm,200 min,70 dB,"Area cleaning, Automatic detergent addition, Automatic dust emptying, Automatic water refill, Base station, Camera function, Carpet detection, Configurable cleaning programmes, Extendable side brushes, Extendable wiping pads, Independent emptying, Laser navigation, Obstacle detector, Programmable cleaning schedules, Self-cleaning mop pads, Staircase safe","Amazon Alexa, Apple Siri, Google Assistant",53980175,Dreame,Robot vacuum cleaners,RLL84CE,17.3.2025,16 of 469,No,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming","Area cleaning, Automatic detergent addition, Automatic dust emptying, Automatic water refill, Base station, Camera function, Carpet detection, Configurable cleaning programmes, Extendable side brushes, Extendable wiping pads, Independent emptying, Laser navigation, Obstacle detector, Programmable cleaning schedules, Self-cleaning mop pads, Staircase safe",19500 Pa,0.30 l,0.08 l,70 dB,"Carpet, Hard floor, Hard surfaces, Laminate, Parquet flooring, Tiles",40 mm,HEPA filter,,Compatible,"Amazon Alexa, Apple Siri, Google Assistant",,China,,,200 min,270 min,Li-ion,6400 mAh,,,600 W,,8.95 cm,59 cm,35 cm,35 cm,35 cm,13.90 kg,44.50 cm,43.50 cm,65 cm,18.15 kg,,,,,,,,,,,,,,,
Xiaomi X20 Max,490,4.6,38,Vacuum mopping robot,9.70 cm,56.30 cm,120 min,,"Base station, Camera function, Carpet detection, Configurable cleaning programmes, Independent emptying, Laser navigation, Obstacle detector, Programmable cleaning schedules, Programmable room boundary, Self-cleaning mop pads, Staircase safe","Amazon Alexa, Google Assistant, Google Home",49838553,Xiaomi,Robot vacuum cleaners,BHR9220EU,1.10.2024,4 of 469,No,Black,Black,Vacuum mopping robot,"Damp mopping, Vacuuming","Base station, Camera function, Carpet detection, Configurable cleaning programmes, Independent emptying, Laser navigation, Obstacle detector, Programmable cleaning schedules, Programmable room boundary, Self-cleaning mop pads, Staircase safe",8000 Pa,2.50 l,4 l,,"Carpet, Laminate, Parquet flooring, Tiles",,"Dust filters, HEPA filter",200 m²,Compatible,"Amazon Alexa, Google Assistant, Google Home","Amazon Alexa, Google Assistant",China,G20 Max,BHR9220EU,120 min,390 min,Li-ion,5200 mAh,,19.60 V,55 W,"Charging station, Mop pad holder, Side brush, Wiping Pad",9.70 cm,56.30 cm,35 cm,,35 cm,3.90 kg,62 cm,40 cm,40 cm,17.06 kg,,,,,,,,,,,,,,,
Roborock Qrevo S,499,4.7,47,Vacuum mopping robot,9.65 cm,35 cm,180 min,67 dB,"Area cleaning, Automatic dust emptying, Automatic water refill, Base station, Carpet detection, Configurable cleaning programmes, Independent emptying, Infrared sensor, Laser navigation, Obstacle detector, Programmable cleaning schedules, Programmable room boundary, Self-cleaning mop pads, Staircase safe","Amazon Alexa, Google Assistant",46485038,Roborock,Robot vacuum cleaners,QRS02-00,12.8.2024,14 of 469,Yes,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming","Area cleaning, Automatic dust emptying, Automatic water refill, Base station, Carpet detection, Configurable cleaning programmes, Independent emptying, Infrared sensor, Laser navigation, Obstacle detector, Programmable cleaning schedules, Programmable room boundary, Self-cleaning mop pads, Staircase safe",7000 Pa,0.33 l,5 l,67 dB,"Carpet, Hard floor, Hard surfaces, Laminate, Parquet flooring, Stone, Tiles",20 mm,Dust filters,300 m²,Compatible,"Amazon Alexa, Google Assistant",Apple HomeKit,China,Q Revo,,180 min,240 min,Li-ion,5200 mAh,,,30 W,"Dust filters, Manual, Power cord, Suction station, Wipes",9.65 cm,35 cm,35.20 cm,3.50 cm,35.50 cm,8.60 kg,60 cm,44 cm,43 cm,15.41 kg,,,,,,,,,,,,,,,
Dreame D10 Plus Gen2,229,4.5,28,Vacuum mopping robot,9.63 cm,42.70 cm,280 min,63 dB,"Base station, Independent emptying, Obstacle detector, Programmable cleaning schedules, Programmable room boundary","Amazon Alexa, Apple Siri, Google Assistant",46399993,Dreame,Robot vacuum cleaners,RLD32GD,24.7.2024,10 of 469,Yes,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming","Base station, Independent emptying, Obstacle detector, Programmable cleaning schedules, Programmable room boundary",6000 Pa,0.40 l,0.15 l,63 dB,"Carpet, Laminate, Parquet flooring, Tiles",20 mm,"Dust filters, HEPA filter",,Compatible,"Amazon Alexa, Apple Siri, Google Assistant",Google Assistant,China,,,280 min,300 min,Li-ion,5200 mAh,,14.40 V,46 W,"Charging and cleaning station, Cleaning brush, Dust collection bag, Dust collector, Power cord, Robot vacuum, Side brush",9.63 cm,42.70 cm,35 cm,35 cm,35 cm,3.24 kg,45.50 cm,37.50 cm,46.50 cm,10.42 kg,,,,,,,,,,,,,,,
